kod obce,jmeno obce,pocet volicu,vydane obalky,platne hlasy,SPR-Republ.str.Čsl. M.Sládka,TOP 09,Strana zelených,REALISTÉ,ANO 2011,Referendum o Evropské unii,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Komunistická str.Čech a Moravy,Strana Práv Občanů,Česká strana národně sociální,Česká pirátská strana,Strana svobodných občanů,Dělnic.str.sociální spravedl.,STAROSTOVÉ A NEZÁVISLÍ,Křesť.demokr.unie-Čs.str.lid.,SPORTOVCI,Svob.a př.dem.-T.Okamura (SPD),"ROZUMNÍ-stop migraci,diktát.EU",Řád národa - Vlastenecká unie,Česká str.sociálně demokrat.,Občanská demokratická strana,Občanská demokratická aliance,Radostné Česko,Dobrá volba 2016,Blok proti islam.-Obran.domova
589888,Pivín,124,78,78,0,10,1,0,118,0,0,24,0,0,20,5,1,23,64,1,77,3,0,13,19,1,1,0,0
589896,Plumlov,35975,21073,20934,0,40,16,5,312,2,2,102,1,0,118,11,2,24,110,3,197,3,0,100,120,4,0,1,2
549983,Polomí,242,138,137,0,2,0,2,15,0,0,11,0,0,3,6,0,3,12,1,8,1,0,12,2,0,0,0,0
589250,Prostějov,805,549,547,31,709,350,109,6 322,6,33,1 699,67,10,1 942,270,71,459,1 269,29,3 261,120,17,1 925,2 152,25,16,16,26
589918,Prostějovičky,1029,621,617,1,1,6,0,38,0,0,20,0,0,12,1,0,5,15,0,11,2,0,12,13,0,0,0,0
589926,Protivanov,880,524,520,1,5,2,10,144,0,0,52,0,0,31,5,2,15,101,1,68,4,0,59,45,0,1,0,1
589934,Přemyslovice,163,104,101,0,11,9,1,202,0,1,74,1,0,24,6,1,9,77,1,101,6,0,54,36,0,2,1,0
589942,Ptení,80,61,61,1,8,6,6,135,3,0,49,0,0,38,2,5,17,114,1,53,4,0,51,26,0,0,1,0
589951,Raková u Konice,503,294,290,0,1,1,0,30,0,0,16,1,0,10,0,2,5,19,0,11,0,0,0,5,0,0,0,0
589969,Rakůvka,410,288,287,0,2,0,0,17,0,0,8,2,0,4,0,0,0,2,0,13,1,0,11,1,0,0,0,0
589977,Rozstání,212,131,131,1,5,6,0,94,0,1,28,0,0,19,5,0,6,35,0,43,7,0,16,24,0,0,0,0
506770,Seloutky,274,145,144,0,9,3,0,87,0,0,33,0,0,29,3,0,6,30,0,32,2,0,19,34,0,0,0,0
589993,Skalka,453,314,313,0,4,1,1,31,0,0,20,0,0,14,1,0,7,17,0,20,1,0,7,7,0,0,0,0
590002,Skřípov,1319,797,786,0,1,2,0,36,0,0,43,0,0,12,1,0,1,12,0,19,2,0,11,4,0,0,0,0
590011,Slatinky,73,39,39,0,23,7,0,87,0,0,30,0,0,44,2,0,16,27,0,29,0,0,15,32,0,1,0,0
590029,Smržice,447,279,278,1,32,4,6,263,0,0,45,1,1,66,2,3,20,68,4,107,7,0,62,92,2,0,0,0
590045,Srbce,126,74,73,0,1,0,0,7,0,0,11,0,0,0,3,0,6,0,0,8,0,0,1,2,0,0,0,0
590053,Stařechovice,345,222,220,3,9,1,1,82,0,0,30,0,0,11,6,1,17,13,1,52,1,1,26,23,0,0,0,0
590061,Stínava,499,360,356,0,3,0,0,11,1,0,7,0,0,5,0,0,1,22,0,13,0,0,7,3,0,0,0,0
590070,Stražisko,204,110,109,0,2,1,0,83,0,0,25,0,0,14,2,0,4,30,0,34,1,1,20,3,0,0,0,0
590088,Suchdol,393,215,215,0,4,3,1,71,1,0,25,0,1,31,3,1,12,100,3,38,1,0,41,18,0,2,0,0
590096,Šubířov,252,152,152,0,2,2,0,37,0,0,14,0,0,12,1,0,6,7,0,11,1,0,9,6,1,0,0,0
590100,Tištín,1101,613,611,0,3,5,1,63,0,0,15,2,0,6,4,1,17,14,0,43,0,1,32,6,0,0,0,2
590118,Tvorovice,354,204,204,0,1,1,1,38,0,0,22,3,0,8,0,3,14,18,0,24,1,0,9,9,0,0,0,0
590126,Určice,404,254,250,0,12,18,6,158,0,5,69,5,0,38,11,4,29,35,0,110,5,0,35,68,1,1,1,0
590134,Víceměřice,109,80,80,0,5,1,3,56,1,0,19,1,0,18,1,4,3,13,0,33,2,0,33,11,0,0,0,0
590142,Vícov,146,84,84,0,6,4,0,69,0,0,24,1,0,20,3,3,5,40,0,41,4,0,11,17,0,1,0,1
544710,Vincencov,492,321,318,1,3,1,0,15,0,0,5,0,0,9,1,0,5,17,0,15,0,0,5,3,0,0,0,0
590151,Vitčice,1306,863,857,1,0,0,0,33,0,1,5,0,0,6,0,0,3,6,0,15,2,1,5,6,0,0,0,0
590177,Vranovice-Kelčice,478,282,275,0,6,1,0,135,1,0,22,0,0,14,5,0,7,43,0,43,0,1,17,23,0,0,0,0
590185,Vrbátky,419,281,280,1,14,7,2,287,0,1,85,5,0,68,11,5,31,79,1,119,6,1,60,68,1,1,0,4
590193,Vrchoslavice,399,266,263,2,4,3,4,87,0,0,31,0,0,18,3,1,16,15,1,49,1,0,20,17,0,0,2,1
590207,Vřesovice,282,196,194,2,8,3,0,61,0,0,41,0,0,14,1,1,8,69,1,40,0,0,16,15,0,0,0,0
590215,Výšovice,436,278,278,0,16,3,1,69,1,2,25,0,0,21,3,1,2,21,1,41,1,0,25,28,1,0,0,1
